обозначение,наименование,индекс,коэф_входимости,заказанное_кол,уровень_критичности,примечания,наименование_материала,locmat_name,locmat,уд_вес,стоимость_мат_за_1кг_м,заг_диаметр,заг_толщина,заг_длина,заг_ширина,заг_на_кол_во,прутки,плиты,вес,стоимость_мат_ла,индустриализация_вид,индустриализация_стоимость,подряд_вид,подряд_стоимость,термообработка_вид,терообработка_стоимость,покрытие_площадь,покрытие_вид,покрытие_стоимость,резка_т_подг_мин,резка_т_маш_мин,резка_т_сум_ч,cn_т_подг_мин,cn_т_маш_мин,cn_т_сум_ч,dart_т_подг_мин,dart_т_маш_мин,dart_т_сум_ч,mx-cn_т_подг_мин,mx-cn_т_маш_мин,mx-cn_т_сум_ч,tour_т_подг_мин,tour_т_маш_мин,tour_т_сум_ч,mx\dart-tour_т_подг_мин,mx\dart-tour_т_ман_мин,mx\dart-tour_т_сум_ч,финишная_т_подг_мин,финишная_т_маш_мин,финишная_т_сум_ч,слесарная_т_подг_мин,слесарная_т_маш_мин,слесарная_т_сум_ч,шлифовальная_т_подг_мин,шлифовальная_т_маш_мин,шлифовальная_т_сум_ч,резерв_т_подг_мин,резерв_т_маш_мин,резерв_т_сум_ч,т_партии_ч,номер_заказа,full_cod1,year
HY07-155-01,CORPS TOURELLE VSLT346NITM,A,1,1.0,,труба Ф154х2,INOX 304L,,,7.85,12.0,154.0,,400.0,,1.0,0.4,0.0,3.04,36.48,,7.5,сварка +полировка,120,,,0.23065812,,0.0,5.0,5.0,10.0,360.0,140.0,500.0,,,0.0,,,0.0,60.0,10.0,70.0,,,0.0,,,0.0,30.0,90.0,120.0,,,0.0,,,0.0,11.66666666666667,37947,07-155-01,2019
HY07-155-10,CORPS TOURELLE VSLT346NITM,A,2,2.0,,труба Ф154х2,INOX 304L,,,7.85,12.0,154.0,,400.0,,1.0,0.4,0.0,3.04,36.48,,7.5,сварка +полировка,120,,,0.23065812,,0.0,5.0,5.0,10.0,360.0,140.0,500.0,,,0.0,,,0.0,60.0,10.0,70.0,,,0.0,,,0.0,30.0,90.0,120.0,,,0.0,,,0.0,15.75,37947,07-155-10,2019
HY07-155-11,CORPS TOURELLE VSLT346NITM,A,1,1.0,,труба Ф154х2,INOX 304L,,,7.85,12.0,154.0,,400.0,,1.0,0.4,0.0,3.04,36.48,,7.5,сварка +полировка,120,,,0.23065812,,0.0,5.0,5.0,10.0,360.0,140.0,500.0,,,0.0,,,0.0,60.0,10.0,70.0,,,0.0,,,0.0,30.0,90.0,120.0,,,0.0,,,0.0,11.66666666666667,37947,07-155-11,2019
HY07-155-12,COLLERETTE,B,2,2.0,,,INOX 304L,,,7.85,6.0,20.0,,10.0,,1.0,0.023,0.0,0.0566926999999999,0.3401561999999999,,7.5,,0,,,0.001256,,0.0,3.0,0.15,3.15,,,0.0,,,0.0,,,0.0,20.0,2.5,22.5,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.4716666666666667,37947,07-155-12,2019
HY02-091-10,Corps de camera,I,20,20.0,RC-Ex,,,,STMAT00215,TUBE INOX 316L 118X80,7.8,12.94308836206897,118.0,,185.0,,1.0,4.255,0.0,197.432,2555.3798215,0.0,0,,0.0,0.09040688,,0.0,,30.0,15.0,45.0,,,0.0,,,0.0,,,0.0,180.0,100.0,280.0,60.0,3.9,63.9,,,0.0,15.0,3.0,18.0,,,0.0,,,0.0,45.38333333333333,37978,02-091-10,2019
HY02-091-12,Bague de hublot,E,20,20.0,RC1,,,,STMAT00214,TUBE INOX 316L 125X100,7.8,14.92040245947457,120.0,,38.0,,1.0,0.8739999999999999,0.0,31.27172,466.586648,429.75,0,23.329332400000002,0.0,0.0369264,,,,30.0,15.0,45.0,,,0.0,,,0.0,,,0.0,140.0,35.1,175.1,60.0,3.9,63.9,,,0.0,15.0,3.0,18.0,,,0.0,,,0.0,23.08333333333333,37978,02-091-12,2019
HY02.091.13,bague de serrage,B,20,20.0,RC1,,,Nylon,PLAQ00234,P PA6/6 NAT EP008 0610X1000,1.2,8.0,,5.0,110.0,110.0,1.0,0.0,0.2783,1.6698,13.3584,,0,,0.0,0.0264,,0.0,,10.0,0.5,10.5,,,0.0,,,0.0,,,0.0,60.0,6.0,66.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,3.333333333333333,37978,02.091.13,2019
HY02.230.38,Support lentille,B,23,23.0,RC1,,,AU4G,D16T,,2.85,7.0,32.0,,8.0,,1.0,0.2115999999999999,0.0,0.4847637503999999,3.3933462528,,0,,0.0,0.00241152,ANOD NOIRE,0.0964608,,5.0,0.3,5.3,,,0.0,,,0.0,,,0.0,60.0,4.0,64.0,30.0,1.0,31.0,,,0.0,3.0,0.2,3.2,,,0.0,,,0.0,3.741666666666666,37978,02.230.38,2019
HY02-230-10,FLASQUE ARRIERE,E,20,20.0,RC2,,,DELRIN NOIRE,POM NOIR,,1.4,12.0,,6.0,85.0,85.0,1.0,0.0,0.166175,1.3958699999999995,16.750439999999998,,0,,0.0,0.01649,,0.0,,5.0,1.0,6.0,,,0.0,90.0,7.5,97.5,,,0.0,,,0.0,,,0.0,,,0.0,3.0,1.0,4.0,,,0.0,,,0.0,4.800000000000001,37978,02-230-10,2019
HY02-230-18,AXE D'ENTRAINEMENT,B,20,20.0,RC2,,,INOX,INOX,,7.8,8.0,6.0,,41.0,,1.0,0.9429999999999998,0.0,0.2078636039999999,1.6629088319999996,,0,,0.0,0.00082896,,0.0,,3.0,0.3,3.3,,,0.0,,,0.0,,,0.0,60.0,2.0,62.0,40.0,1.0,41.0,,,0.0,3.0,0.3,3.3,,,0.0,,,0.0,2.966666666666666,37978,02-230-18,2019
