item,number_cmd,PRODUIT,N°PIECE,IND PROD,REF_BAAN,full_cod1,обозначение,номер_заказа
488355,37899,HY18-073,10,A,HY18-073-10,18-073-10,HY18-073-10,37899
488356,37899,HY18-073,11,A,HY18-073-11,18-073-11,HY18-073-11,37899
488357,37899,HY18-073,15,A,HY18-073-15,18-073-15,HY18-073-15,37899
488358,37899,HY18-073,16,A,HY18-073-16,18-073-16,HY18-073-16,37899
488359,37899,HY18-073,23,A,HY18-073-23,18-073-23,HY18-073-23,37899
488360,37899,HY18-073,19,A,HY18-073-19,18-073-19,HY18-073-19,37899
488361,37899,HY18-073,24,A,HY18-073-24,18-073-24,HY18-073-24,37899
488362,37899,HY18-011,10,A,HY18-011-10,18-011-10,HY18-011-10,37899
488363,37899,HY18-011,14,A,HY18-011-14,18-011-14,HY18-011-14,37899
488364,37899,HY18-011,15,A,HY18-011-15,18-011-15,HY18-011-15,37899
488374,37928,HY16-105,611,C,HY16-105-611,16-105-611,HY16-105-611,37928
488375,37928,HY16-105,610,D,HY16-105-610,16-105-610,HY16-105-610,37928
488376,37928,HY16-105,612,C,HY16-105-612,16-105-612,HY16-105-612,37928
488377,37928,HY16-105,613,B,HY16-105-613,16-105-613,HY16-105-613,37928
488378,37928,HY16-105,614,B,HY16-105-614,16-105-614,HY16-105-614,37928
488379,37928,HY16-105,615,A,HY16-105-615,16-105-615,HY16-105-615,37928
488380,37928,HY16-105,619,B,HY16-105-619,16-105-619,HY16-105-619,37928
488381,37928,HY16-105,632,B,HY16-105-632,16-105-632,HY16-105-632,37928
488382,37928,HY16-105,636,A,HY16-105-636,16-105-636,HY16-105-636,37928
488647,37931,HY01-291,10,F,HY01-291-10,01-291-10,HY01-291-10,37931
488648,37931,HY01-291,11,A,HY01-291-11,01-291-11,HY01-291-11,37931
488695,37947,HY07-155,1,B,HY07-155-01,07-155-01,HY07-155-01,37947
488696,37947,HY07-155,10,A,HY07-155-10,07-155-10,HY07-155-10,37947
488697,37947,HY07-155,11,A,HY07-155-11,07-155-11,HY07-155-11,37947
488698,37947,HY07-155,12,B,HY07-155-12,07-155-12,HY07-155-12,37947
488851,37978,HY02-091,10,I,HY02-091-10,02-091-10,HY02-091-10,37978
488852,37978,HY02-091,12,E,HY02-091-12,02-091-12,HY02-091-12,37978
488853,37978,HY02.091,13,B,HY02.091.13,02.091.13,HY02.091.13,37978
488854,37978,HY02.230,38,B,HY02.230.38,02.230.38,HY02.230.38,37978
488855,37978,HY02-230,10,E,HY02-230-10,02-230-10,HY02-230-10,37978
488856,37978,HY02-230,18,B,HY02-230-18,02-230-18,HY02-230-18,37978
488857,37978,HY02-230,19,D,HY02-230-19,02-230-19,HY02-230-19,37978
488858,37978,HY02-230,20,E,HY02-230-20,02-230-20,HY02-230-20,37978
488859,37978,HY02-230,21,C,HY02-230-21,02-230-21,HY02-230-21,37978
488860,37978,HY02.230,27,B,HY02.230.27,02.230.27,HY02.230.27,37978
488861,37978,HY02-230,29,D,HY02-230-29,02-230-29,HY02-230-29,37978
488862,37978,HY01.350,39,C,HY01.350.39,01.350.39,HY01.350.39,37978
488863,37978,HY02.230,11,B,HY02.230.11,02.230.11,HY02.230.11,37978
488864,37978,HY02.230,14,C,HY02.230.14,02.230.14,HY02.230.14,37978
488865,37978,HY02-230,16,F,HY02-230-16,02-230-16,HY02-230-16,37978
488866,37978,HY02.230,17,B,HY02.230.17,02.230.17,HY02.230.17,37978
488867,37978,HY02.230,22,B1,HY02.230.22,02.230.22,HY02.230.22,37978
488868,37978,HY02-230,24,F,HY02-230-24,02-230-24,HY02-230-24,37978
488869,37978,HY02-230,25,G,HY02-230-25,02-230-25,HY02-230-25,37978
488870,37978,HY02.230,26,C,HY02.230.26,02.230.26,HY02.230.26,37978
488871,37978,HY02.230,31,C,HY02.230.31,02.230.31,HY02.230.31,37978
488872,37978,HY02.230,33,B,HY02.230.33,02.230.33,HY02.230.33,37978
488873,37978,HY02.230,34,B,HY02.230.34,02.230.34,HY02.230.34,37978
488874,37978,HY02.230,39,D,HY02.230.39,02.230.39,HY02.230.39,37978
489286,38030,HY01-125,11,B,HY01-125-11,01-125-11,HY01-125-11,38030
489287,38030,HY01-125,12,A,HY01-125-12,01-125-12,HY01-125-12,38030
489288,38030,HY01-125,13,A,HY01-125-13,01-125-13,HY01-125-13,38030
489289,38030,HY01-125,14,A,HY01-125-14,01-125-14,HY01-125-14,38030
489290,38030,HY01-125,15,A,HY01-125-15,01-125-15,HY01-125-15,38030
489291,38030,HY01-125,21,B,HY01-125-21,01-125-21,HY01-125-21,38030
489292,38030,HY01-125,43,A,HY01-125-43,01-125-43,HY01-125-43,38030
489293,38030,HY01-125,44,B2,HY01-125-44,01-125-44,HY01-125-44,38030
489294,38030,HY01-125,45,D,HY01-125-45,01-125-45,HY01-125-45,38030
489295,38030,HY01-125,47,C,HY01-125-47,01-125-47,HY01-125-47,38030
489296,38030,HY01-125,57,A,HY01-125-57,01-125-57,HY01-125-57,38030
489297,38030,HY01-125,58,B1,HY01-125-58,01-125-58,HY01-125-58,38030
489298,38030,HY01-125,59,B,HY01-125-59,01-125-59,HY01-125-59,38030
489299,38030,HY12-001,21,A,HY12-001-21,12-001-21,HY12-001-21,38030
489300,38030,HY01-125,16,A,HY01-125-16,01-125-16,HY01-125-16,38030
489301,38030,HY01-125,19,A,HY01-125-19,01-125-19,HY01-125-19,38030
489302,38030,HY15 144,37,A,HY15 144 37,15 144 37,HY15 144 37,38030
489303,38030,HY01-287,12,T,HY01-287-12,01-287-12,HY01-287-12,38030
489304,38030,HY01-287,16,A,HY01-287-16,01-287-16,HY01-287-16,38030
489305,38030,HY01287,17,A,HY0128717,0128717,HY0128717,38030
489306,38030,HY01-287,18,A,HY01-287-18,01-287-18,HY01-287-18,38030
489307,38030,HY01-287,21,D,HY01-287-21,01-287-21,HY01-287-21,38030
0,0,0,0,0,0,01-287-21-01,HY01-287-21-01,38030
0,0,0,0,0,0,01-287-21-02,HY01-287-21-02,38030
0,0,0,0,0,0,01-287-21-03,HY01-287-21-03,38030
0,0,0,0,0,0,01-287-21-04,HY01-287-21-04,38030
489308,38030,HY01-287,25,B,HY01-287-25,01-287-25,HY01-287-25,38030
489309,38030,HY01-287,26,A,HY01-287-26,01-287-26,HY01-287-26,38030
489310,38030,HY01-287,29,C,HY01-287-29,01-287-29,HY01-287-29,38030
489311,38030,HY01-287-1,29,C,HY01-287-29-1,01-287-29-1,HY01-287-29-1,38030
489312,38030,HY01-287-2,29,C,HY01-287-29-2,01-287-29-2,HY01-287-29-2,38030
489313,38030,HY01-287,30,С,HY01-287-30,01-287-30,HY01-287-30,38030
489314,38030,HY01-287,31,С,HY01-287-31,01-287-31,HY01-287-31,38030
489315,38030,HY01-287,32,B,HY01-287-32,01-287-32,HY01-287-32,38030
489316,38030,HY01-287,34,A,HY01-287-34,01-287-34,HY01-287-34,38030
489317,38030,HY01-287,35,A,HY01-287-35,01-287-35,HY01-287-35,38030
489318,38030,HY01-287,36,A,HY01-287-36,01-287-36,HY01-287-36,38030
489319,38030,HY01-287,40,B,HY01-287-40,01-287-40,HY01-287-40,38030
489320,38030,HY16-115,115,B,HY16-115-115,16-115-115,HY16-115-115,38030
0,0,0,0,0,0,16-115-115-01,HY16-115-115-01,38030
0,0,0,0,0,0,16-115-115-02,HY16-115-115-02,38030
0,0,0,0,0,0,16-115-115-03,HY16-115-115-03,38030
0,0,0,0,0,0,16-115-115-03-01,HY16-115-115-03-01,38030
489325,38030,HY01-288,11,B,HY01-288-11,01-288-11,HY01-288-11,38030
0,0,0,0,0,0,01-288-11-01,HY01-288-11-01,38030
0,0,0,0,0,0,01-288-11-02,HY01-288-11-02,38030
489328,38030,HY01-288,12,B,HY01-288-12,01-288-12,HY01-288-12,38030
489329,38030,HY01-288,13,A,HY01-288-13,01-288-13,HY01-288-13,38030
489330,38030,HY01-288,14,A,HY01-288-14,01-288-14,HY01-288-14,38030
489331,38030,HY01-288,15,C,HY01-288-15,01-288-15,HY01-288-15,38030
489332,38030,HY01-288,16,A,HY01-288-16,01-288-16,HY01-288-16,38030
489333,38030,HY01-288,18,A,HY01-288-18,01-288-18,HY01-288-18,38030
489334,38030,HY01-288,19,A,HY01-288-19,01-288-19,HY01-288-19,38030
489335,38030,HY01-288,21,A,HY01-288-21,01-288-21,HY01-288-21,38030
489336,38030,HY01-288,22,A,HY01-288-22,01-288-22,HY01-288-22,38030
489337,38030,HY01-288,23,A,HY01-288-23,01-288-23,HY01-288-23,38030
489338,38030,HY01-288,24,B,HY01-288-24,01-288-24,HY01-288-24,38030
489339,38030,HY01-288,26,A,HY01-288-26,01-288-26,HY01-288-26,38030
489340,38030,HY01-288,27,B,HY01-288-27,01-288-27,HY01-288-27,38030
489341,38030,HY01-288,31,A,HY01-288-31,01-288-31,HY01-288-31,38030
489342,38030,HY01-288,33,A,HY01-288-33,01-288-33,HY01-288-33,38030
489343,38030,HY01-288,34,D,HY01-288-34,01-288-34,HY01-288-34,38030
489344,38030,HY01-288,35,B1,HY01-288-35,01-288-35,HY01-288-35,38030
489345,38030,HY16-115,211,B,HY16-115-211,16-115-211,HY16-115-211,38030
489346,38030,HY16-115,212,B,HY16-115-212,16-115-212,HY16-115-212,38030
489347,38030,HY16-115,213,A1,HY16-115-213,16-115-213,HY16-115-213,38030
489348,38030,HY07-107,10,A1,HY07-107-10,07-107-10,HY07-107-10,38030
489349,38030,HY07-107,11,A,HY07-107-11,07-107-11,HY07-107-11,38030
489350,38030,HY07-107,12,A,HY07-107-12,07-107-12,HY07-107-12,38030
489351,38030,HY03-086,10,C1,HY03-086-10,03-086-10,HY03-086-10,38030
489352,38030,HY03-086,11,B1,HY03-086-11,03-086-11,HY03-086-11,38030
489353,38030,HY03-086,12,B1,HY03-086-12,03-086-12,HY03-086-12,38030
489354,38030,HY03-086,13,D,HY03-086-13,03-086-13,HY03-086-13,38030
489355,38030,HY03-086,14,F,HY03-086-14,03-086-14,HY03-086-14,38030
489356,38030,HY03-086,15,E,HY03-086-15,03-086-15,HY03-086-15,38030
489357,38030,HY03-086,16,H,HY03-086-16,03-086-16,HY03-086-16,38030
489358,38030,HY03-086,17,D,HY03-086-17,03-086-17,HY03-086-17,38030
489359,38030,HY03-086,18,A,HY03-086-18,03-086-18,HY03-086-18,38030
489360,38030,HY03-086,19,B,HY03-086-19,03-086-19,HY03-086-19,38030
489361,38030,HY03-086,20,A,HY03-086-20,03-086-20,HY03-086-20,38030
489362,38030,HY03-086,21,B,HY03-086-21,03-086-21,HY03-086-21,38030
489363,38030,HY03-086,22,A,HY03-086-22,03-086-22,HY03-086-22,38030
489364,38030,HY03-086,23,A,HY03-086-23,03-086-23,HY03-086-23,38030
489365,38030,HY03-086,24,A,HY03-086-24,03-086-24,HY03-086-24,38030
489366,38030,HY03-086,25,A,HY03-086-25,03-086-25,HY03-086-25,38030
489367,38030,HY03-086,26,B,HY03-086-26,03-086-26,HY03-086-26,38030
489368,38030,HY03-086,27,A,HY03-086-27,03-086-27,HY03-086-27,38030
489369,38030,HY03-086,28,A2,HY03-086-28,03-086-28,HY03-086-28,38030
489370,38030,HY03-086,29,C1,HY03-086-29,03-086-29,HY03-086-29,38030
489371,38030,HY03-086,30,D,HY03-086-30,03-086-30,HY03-086-30,38030
489372,38030,HY03-086,37,C,HY03-086-37,03-086-37,HY03-086-37,38030
489373,38030,HY03-086,95,A,HY03-086-95,03-086-95,HY03-086-95,38030
489421,38030,HY16-115,112,A1,HY16-115-112,16-115-112,HY16-115-112,38030
489422,38030,HY16-115,113,A1,HY16-115-113,16-115-113,HY16-115-113,38030
489423,38030,HY16-115,410,B,HY16-115-410,16-115-410,HY16-115-410,38030
489509,38059,HY16-105,111,B,HY16-105-111,16-105-111,HY16-105-111,38059
489510,38059,HY16-105,314,E,HY16-105-314,16-105-314,HY16-105-314,38059
489511,38059,HY16-105,316,B,HY16-105-316,16-105-316,HY16-105-316,38059
489512,38059,HY16-105,317,E,HY16-105-317,16-105-317,HY16-105-317,38059
489513,38059,HY16-105,310,D1,HY16-105-310,16-105-310,HY16-105-310,38059
489514,38059,HY16-105,311,C,HY16-105-311,16-105-311,HY16-105-311,38059
489515,38059,HY16-105,320,A1,HY16-105-320,16-105-320,HY16-105-320,38059
489516,38059,HY16-105,411,A1,HY16-105-411,16-105-411,HY16-105-411,38059
489517,38059,HY16-105,532,B,HY16-105-532,16-105-532,HY16-105-532,38059
489518,38059,HY16-105,570,A,HY16-105-570,16-105-570,HY16-105-570,38059
489519,38059,HY16-105,571,A,HY16-105-571,16-105-571,HY16-105-571,38059
489520,38059,HY16-105,522,B,HY16-105-522,16-105-522,HY16-105-522,38059
489521,38059,HY16-105,525,A1,HY16-105-525,16-105-525,HY16-105-525,38059
489522,38059,HY16-105,526,A,HY16-105-526,16-105-526,HY16-105-526,38059
489523,38059,HY16-105,527,A,HY16-105-527,16-105-527,HY16-105-527,38059
489524,38059,HY16-105,528,A,HY16-105-528,16-105-528,HY16-105-528,38059
489525,38059,HY16-105,513,C,HY16-105-513,16-105-513,HY16-105-513,38059
489526,38059,HY16-105,512,D,HY16-105-512,16-105-512,HY16-105-512,38059
489527,38059,HY16-105,514,A,HY16-105-514,16-105-514,HY16-105-514,38059
489528,38059,HY16-105,515,A1,HY16-105-515,16-105-515,HY16-105-515,38059
489529,38059,HY16-105,520,B,HY16-105-520,16-105-520,HY16-105-520,38059
489530,38059,HY16-105,511,D,HY16-105-511,16-105-511,HY16-105-511,38059
489531,38059,HY16-105,410,A1,HY16-105-410,16-105-410,HY16-105-410,38059
489532,38059,HY16-105,510,D,HY16-105-510,16-105-510,HY16-105-510,38059
489533,38059,HY16-105,529,B,HY16-105-529,16-105-529,HY16-105-529,38059
489534,38059,HY16-105,530,D1,HY16-105-530,16-105-530,HY16-105-530,38059
489535,38059,HY16-105,531,B,HY16-105-531,16-105-531,HY16-105-531,38059
489536,38059,HY16-105,537,A1,HY16-105-537,16-105-537,HY16-105-537,38059
489537,38059,HY16-105,538,A,HY16-105-538,16-105-538,HY16-105-538,38059
489538,38059,HY16-105,521,A,HY16-105-521,16-105-521,HY16-105-521,38059
489539,38059,HY16-105,524,B,HY16-105-524,16-105-524,HY16-105-524,38059
489540,38059,HY16-105,610,E,HY16-105-610,16-105-610,HY16-105-610,38059
489681,38059,HY16-105-01,610,E,HY16-105-610-01,16-105-610-01,HY16-105-610-01,38059
