наименование_материала,диаметр,толщина,длина,ширина
В95,40,0,10,0
В95,40,0,10,0
Л63,6,0,23,0
ПА6,20,0,8,0
45,20,0,14,0
Л63,6,0,7,0
45.0,42,0,42,0
40Х,32,0,40,0
18ХГ,20,0,40,0
20Х,10,0,60,0
35  S32,32,0,47,0
40Х,35,0,31,0
40Х,25,0,27,0
35  S19,19,0,55,0
40Х,14,0,26,0
35  S32,32,0,80,0
Труба 25х3,25,0,108,0
40Х,24,0,83,0
35,26,0,8,0
40Х,18,0,14,0
40Х,27,0,25,0
35  S27,27,0,47,0
20Х,10,0,16,0
40Х,14,0,10,0
40Х,12,0,18,0
35  S27,27,0,55,0
20Х,14,0,22,0
40Х,8,0,23,0
SUS 304,0,8,112,105
SUS 304,0,8,58,33
SUS 304,100,0,30,0
SUS 304,0,8,58,33
SUS 304,20,0,48,0
SUS 304,0,8,52,84
SUS 304,0,25,290,290
SUS 304,12,0,70,0
SUS 304,50,0,8,0
SUS 304,50,0,16,0
SUS 304,60,0,55,0
SBR Rubber,0,0,0,0
SUS 304,30,0,48,0
SUS 304,8,0,180,0
NBR Rubber,0,1,100,65
PTFE,70,0,40,0
А12,10,0,15,0
"А12, шестигранник 4",8,0,23,0
"А12, шестигранник 4",8,0,26,0
"А12, шестигранник 4",8,0,30,0
"А12, шестигранник 4",8,0,30,0
Ст20,10,0,42,0
Ст20,10,0,40,0
Ст20,10,0,55,0
ЛС59-1,6,0,15,0
А12,6,0,12,0
А12,10,0,15,0
"А12, шестигранник 4",8,0,23,0
"А12, шестигранник 4",8,0,26,0
"А12, шестигранник 4",8,0,30,0
"А12, шестигранник 4",8,0,30,0
Ст20,10,0,42,0
Ст20,10,0,40,0
Ст20,10,0,55,0
ЛС59-1,6,0,15,0
А12,6,0,12,0
А12,10,0,15,0
"А12, шестигранник 4",8,0,23,0
"А12, шестигранник 4",8,0,26,0
"А12, шестигранник 4",8,0,30,0
"А12, шестигранник 4",8,0,30,0
Ст20,10,0,42,0
Ст20,10,0,40,0
Ст20,10,0,55,0
ЛС59-1,6,0,15,0
А12,6,0,12,0
А12,10,0,15,0
"А12, шестигранник 4",8,0,23,0
"А12, шестигранник 4",8,0,26,0
"А12, шестигранник 4",8,0,30,0
"А12, шестигранник 4",8,0,30,0
Ст20,10,0,42,0
Ст20,10,0,40,0
Ст20,10,0,55,0
ЛС59-1,6,0,15,0
А12,6,0,12,0
АМг6,0,135.0,420,225
АМг6,0,20.0,160,105
АМг6,0,20.0,180,160
М3,0,6.0,185,160
АМг6,0,1.5,190,100
20,0,0.7,15,10
АМг6,0,1.0,105,45
АМг6,0,1.0,60,45
АМг6,0,20.0,420,225
АМг6,0,135.0,420,225
АМг6,0,20.0,160,105
АМг6,0,20.0,180,160
М3,0,6.0,185,160
АМг6,0,1.5,190,100
20,0,0.7,15,10
АМг6,0,1.0,105,45
АМг6,0,1.0,60,45
АМг6,0,20.0,420,225
В95Т,0,16,55,33
В95Т,0,16,55,20
INOX304,0,12,45,20
INOX304,10,0,52,0
В95Т,0,18,25,12
В95Т,0,16,55,30
В95Т,0,16,55,20
INOX304,0,12,45,20
INOX304,10,0,52,0
В95Т,0,8,25,12
В95Т,0,420,30,22
В95Т,0,420,20,16
INOX304,0,197,15,16
INOX304,10,0,52,0
В95Т,0,177,12,16
В95Т,0,18,55,33
В95Т,0,18,55,20
INOX304,0,12,45,20
INOX304,10,0,52,0
В95Т,0,18,25,12
В95Т,0,18,55,33
В95Т,0,18,55,20
INOX304,0,12,45,20
INOX304,10,0,52,0
В95Т,0,18,25,12
08Х22Н6Т,130,0,60,0
12Х18Н9Т,16,0,10,0
Ketron 1000 PEEK,120,0,178,0
Halogen-free one-way CCL CNS1201NB1,0,0,0,0
Ketron 1000 PEEK,12,0,12,0
12Х18Н9Т,10,0,16,0
12Х18Н9Т,0,5,70,60
12Х18Н10Т,0,2,98,98
08Х22Н6Т,280,0,210,0
12Х18Н10Т,130,0,35,0
ПА,30,0,40,0
08Х22Н6Т,45,0,115,0
D16T,0,4,160,130
08Х22Н6Т,130,0,60,0
12Х18Н9Т,16,0,10,0
Ketron 1000 PEEK,120,0,178,0
Halogen-free one-way CCL CNS1201NB1,0,0,0,0
Ketron 1000 PEEK,12,0,12,0
12Х18Н9Т,10,0,16,0
12Х18Н9Т,0,5,70,60
12Х18Н10Т,0,2,98,98
08Х22Н6Т,280,0,210,0
12Х18Н10Т,130,0,35,0
ПА,30,0,40,0
08Х22Н6Т,45,0,115,0
D16T,0,4,160,130
08Х22Н6Т,130,0,60,0
12Х18Н9Т,16,0,10,0
Ketron 1000 PEEK,120,0,178,0
Halogen-free one-way CCL CNS1201NB1,0,0,0,0
Ketron 1000 PEEK,12,0,12,0
12Х18Н9Т,10,0,16,0
12Х18Н9Т,0,5,70,60
12Х18Н10Т,0,2,98,98
08Х22Н6Т,280,0,210,0
12Х18Н10Т,130,0,35,0
ПА,30,0,40,0
08Х22Н6Т,45,0,115,0
D16T,0,4,160,130
Д16Т,0,30,940,300
Д16Т,0,30,295,35
Д16Т,0,5,295,20
12Х18Н10Т,2,0,10,0
Уголок,20,0,1025,0
Д16Т,0,10,55,22
ЛС59-1,2,0,17,0
Ф-4,6,0,12,0
08Х22Н6Т,280,0,115,0
12Х18Н9Т,55,0,45,0
Труба 133х12 12Х18Н10Т,0,0,291,0
12Х18Н10Т,0,2,160,160
08Х22Н6Т,130,0,35,0
ПА,30,0,40,0
08Х22Н6Т,45,0,80,0
Keptron 1000 PEEK,120,0,420,0
Труба 95х8 12Х18Н10Т,0,0,12,0
12Х18Н9Т,10,0,18,0
Keptron 1000 PEEK,10,0,12,0
08Х22Н6Т,130,0,60,0
12Х18Н9Т,16,0,10,0
12Х18Н10Т,0,2,98,98
12Х18Н10Т,0,2,98,98
Д16Т,0,4,160,100
08Х22Н6Т,280,0,115,0
12Х18Н9Т,55,0,45,0
Труба 133х12 12Х18Н10Т,0,0,291,0
12Х18Н10Т,0,2,160,160
08Х22Н6Т,130,0,35,0
ПА,30,0,40,0
08Х22Н6Т,45,0,80,0
Keptron 1000 PEEK,120,0,420,0
Труба 95х8 12Х18Н10Т,0,0,12,0
12Х18Н9Т,10,0,18,0
Keptron 1000 PEEK,10,0,10,0
08Х22Н6Т,130,0,60,0
12Х18Н9Т,16,0,10,0
12Х18Н10Т,0,2,98,98
12Х18Н10Т,0,2,98,98
Д16Т,0,4,160,100
08Х22Н6Т,280,0,115,0
12Х18Н9Т,55,0,45,0
Труба 133х12 12Х18Н10Т,0,0,291,0
12Х18Н10Т,0,2,160,160
08Х22Н6Т,130,0,35,0
ПА,30,0,40,0
08Х22Н6Т,45,0,80,0
Keptron 1000 PEEK,120,0,420,0
Труба 95х8 12Х18Н10Т,0,0,12,0
12Х18Н9Т,10,0,18,0
Keptron 1000 PEEK,10,0,12,0
08Х22Н6Т,130,0,60,0
12Х18Н9Т,16,0,10,0
12Х18Н10Т,0,2,98,98
12Х18Н10Т,0,2,98,98
Д16Т,0,4,160,100
12Х18Н10Т,0,20,250,250
БрОЦ4-3,32,0,18,0
БрО10Ф1,110,0,25,0
40ХН2МА,32,0,65,0
12Х18Н10Т,0,12,295,295
12Х18Н10Т,0,20,250,250
БрОЦ4-3,32,0,18,0
БрО10Ф1,110,0,25,0
40ХН2МА,32,0,65,0
12Х18Н10Т,0,12,295,295
ОТ4,0,37.5,254,192
ОТ4,0,37.5,254,192
2024,0,12,70,50
2024,0,12,50,45
2024,20,0,50,0
SUS 304,0,30,93,48
PEEK,0,0,0,0
PTFE,45,0,35,0
PTFE,40,0,40,0
C3710,20,0,90,0
A6061T6,0,81,370,370
SUS 304,12,0,110,0
SUS 304,10,0,130,0
Д16Т,0,45,110,60
Д16Т,0,45,105,60
Д16Т,0,35,60,45
AT-1011-01,90,0.0,85,0
AT-1011-01,40,0.0,9,0
AT-1011-01,0,30.0,70,55
AT-1011-01,0,25.0,80,80
AT-1011-01,0,12.0,110,88
3103,0,1.5,200,185
AT-1011-01,0,25.0,80,78
AT-1011-01,0,25.0,80,78
Л63,6,0,23,0
Л63,6,0,7,0
В95,60,0,14,0
40Х13,56,0,15,0
В95,90,0,24,0
В95,90,0,30,0
В95,90,0,51,0
В95,90,0,17,0
В95,90,0,23,0
95Х18,18,0,110,0
40Х,50,0,55,0
45,30,0,11,0
В95,45,0,10,0
В95,70,0,7,0
В95,40,0,10,0
В95,40,0,10,0
ПА6,20,0,8,0
45,28,0,18,0
40Х,6,0,15,0
40Х,8,0,15,0
40Х,3,0,65,0
40Х,4,0,85,0
Л63,6,0,23,0
Л63,6,0,7,0
В95,60,0,14,0
40Х13,56,0,15,0
В95,90,0,24,0
В95,90,0,30,0
В95,90,0,51,0
В95,90,0,17,0
В95,90,0,23,0
95Х18,18,0,110,0
40Х,50,0,55,0
45,30,0,11,0
В95,45,0,10,0
В95,70,0,7,0
В95,40,0,10,0
В95,40,0,10,0
ПА6,20,0,8,0
45,28,0,18,0
40Х13,0,100,330,110
40Х13,0,90,205,190
A6061T6,0,25,250,250
ПОМ-с черный,0,40,150,70
EN AW 6061-T6,65,0,320,0
EN AW 6061-T6,65,0,320,0
EN AW 6061-T6,65,0,320,0
EN AW 6061-T6,65,0,320,0
EN AW 6061-T6,65,0,320,0
EN AW 6061-T6,65,0,320,0
EN AW 5083,110,0,70,0
EN AW 5083,110,0,70,0
EN AW 5083,110,0,70,0
EN AW 5083,0,70,75,65
EN AW 5083,0,70,75,65
EN AW 5083,0,70,75,65
У8А,16,0,70,0
Д16Т,0,40,90,65
Д16Т,0,14,70,55
Сталь 45,16,0,40,0
Сталь 45,16,0,35,0
Сталь 45,16,0,25,0
У8А,0,20,75,20
Д16Т,0,14,275,150
У8А,0,12,245,25
Д16Т,0,12,210,210
У8А,0,16,205,20
У8,16,0,65,0
79НМ,30,0,102,0
ЛС59-1 ,15,0,67,0
Д16Т,65,0,70,0
Д16Т,65,0,70,0
Д16Т,45,0,70,0
Д16Т,0,40,72,62
Д16Т,0,40,72,62
Д16Т,0,40,72,40
Д16Т,0,40,72,62
Д16Т,0,40,72,62
Д16Т,0,40,72,40
Д16Т,0,40,72,62
Д16Т,0,40,72,62
Д16Т,0,40,72,40
Сталь 40Х,90,0,90,0
Сталь 40ХН,32,0,98,0
Сталь 40ХН,120,0,60,0
Сталь 40ХН,120,0,110,0
Сталь 40Х,45,0,100,0
Сталь 40Х,160,0,175,0
Сталь 20Х,0,0,0,0
Сталь 20Х,0,0,0,0
Д16Б,0,16,820,640
45,70,0,56,0
45,70,0,68,0
12Х18Н10Т,160,0,130,0
12Х18Н10Т,90,0,260,0
12Х18Н10Т,28,0,420,0
45,0,12,30,21
ст3,50,0,45,0
Д16,0,16,250,65
ст3,0,4,46,40
ст3,35,0,65,0
ст3,38,0,58,0
ст3,0,25,56,55
ст3,38,0,22,0
12Х18Н10Т,0,2,38,16
ст3,0,16,185,65
ст3,0,4,170,60
ст3,0,12,260,185
ст3,0,25,88,42
ст3,0,16,88,36
ст3,0,8,35,35
12Х18Н10Т,0,2,330,330
ст3,0,3,165,22
ст3,0,6,415,265
ст3,0,15,48,45
ст3,0,16,45,41
Д16,0,12,175,20
Д16,0,12,125,50
Д16,0,12,200,48
Д16,0,20,240,48
ст3,0,3,45,22
ст3,0,3,45,22
ст3,0,3,52,26
ст3,0,20,135,32
ст3,0,6,90,28
Д16,0,25,110,50
Д16Т,0,20,62,50
Д16,0,16,345,220
Д16,0,12,190,80
ст3,0,15,38,20
ст3,0,12,130,20
ст3,0,6,115,60
POM белый,0,40,120,90
ст3,0,16,243,225
Д16,0,16,110,35
Д16,0,16,110,35
ст3,0,15,85,30
ст3,0,8,65,55
Д16,0,35,230,21
ст3,0,3,55,38
ст3,0,30,142,35
Д16,0,16,645,320
Д16,0,12,285,42
Д16,0,12,185,110
Д16,0,6,210,210
ст3,0,12,335,85
ст3,0,10,135,35
ст3,0,20,136,62
ст3,0,16,161,65
ст3,0,16,205,65
ст3,0,6,37,19
Д16,0,40,90,45
45,60,0,47,0
ст3,0,6,45,25
ст3,0,8,67,67
ст3,0,25,155,10
ст3,0,5,45,25
ст3,0,25,205,20
ст3,0,25,265,17
ст3,0,16,283,165
ст3,0,16,320,300
ст3,0,16,281,85
ст3,0,20,283,155
ст3,0,20,350,285
ст3,0,20,350,285
ст3,0,20,45,41
ст3,0,16,330,35
ст3,0,16,165,49
ст3,0,16,205,34
ст3,0,16,300,70
ст3,0,20,287,105
ст3,56,0,105,0
Д16,0,20,52,48
Д16,0,15,155,50
ст3,0,35,230,14
ст3,0,25,105,35
ст3,50,0,65,0
ст3,38,0,35,0
ст3,0,25,85,45
ст3,0,25,85,45
ст3,0,20,225,55
ст3,0,25,190,105
ст3,0,25,175,105
ст3,0,12,205,120
ст3,0,25,75,35
ст3,0,12,670,350
ст3,0,12,560,465
45,0,12,35,25
ст3,60,0,35,0
Д16,0,16,250,65
ст3,0,4,46,40
ст3,0,30,70,30
ст3,0,30,60,35
ст3,0,25,60,52
ст3,0,20,35,30
12Х18Н10Т,0,2,38,16
ст3,0,20,190,70
ст3,0,4,175,40
ст3,0,12,355,190
ст3,0,28,88,42
ст3,0,20,88,36
ст3,0,8,38,38
12Х18Н10Т,0,2,330,330
ст3,0,3,165,22
ст3,0,6,420,270
ст3,0,12,48,45
ст3,0,15,48,45
Д16,0,12,175,20
Д16,0,12,125,50
Д16,0,12,200,48
Д16,0,20,240,48
ст3,0,3,45,22
ст3,0,3,45,22
ст3,0,3,52,26
ст3,0,20,135,32
ст3,0,6,90,28
Д16,0,25,110,50
Д16Т,0,20,62,50
Д16,0,16,345,220
Д16,0,12,190,80
ст3,0,15,38,20
ст3,0,12,130,20
ст3,0,6,120,65
POM белый,0,40,120,90
ст3,0,15,250,230
Д16,0,15,115,38
Д16,0,15,115,38
ст3,0,15,90,32
ст3,0,8,70,60
Д16,0,20,235,40
ст3,0,3,60,40
ст3,0,30,145,36
Д16,0,15,430,195
Д16,0,12,285,42
Д16,0,12,185,110
Д16,0,6,210,210
ст3,0,10,340,80
ст3,0,10,140,40
ст3,0,18,110,105
ст3,0,18,165,70
ст3,0,18,210,70
ст3,0,5,40,20
Д16,0,40,90,45
45,60,0,50,0
ст3,0,6,50,30
ст3,0,8,70,70
ст3,0,8,160,30
ст3,0,6,50,30
ст3,0,20,210,32
ст3,0,18,270,32
ст3,0,18,290,170
ст3,0,18,325,305
ст3,0,18,285,90
ст3,0,18,290,160
ст3,0,18,355,290
ст3,0,18,355,290
ст3,0,18,48,45
ст3,0,15,335,40
ст3,0,15,145,100
ст3,0,15,210,35
ст3,0,18,305,75
ст3,0,18,290,110
ст3,60,0,110,0
Д16,0,20,52,48
Д16,0,15,155,50
ст3,0,12,235,40
ст3,0,25,110,40
ст3,0,30,70,50
ст3,0,30,38,32
ст3,0,25,90,48
ст3,0,25,90,48
ст3,0,20,230,60
ст3,0,25,195,110
ст3,0,25,180,110
ст3,0,14,210,125
ст3,0,25,80,40
ст3,0,12,680,360
ст3,0,12,570,470
В95,0,8,70,30
В95,0,8,70,30
В95,12,0,6,0
В95,0,20,38,28
В95,0,15,55,16
В95,0,8,50,25
В95,0,8,35,20
В95,0,8,70,30
S355NL,90,0,22,0
S355NL,90,0,22,0
Д16 Т,0,45,240,200
ЛС59-1,30,0,75,0
304L,35,0,43,0
304L,40,0,10,0
304L,0,50,110,85
ЛС59-1,30,0,75,0
304L,35,0,43,0
304L,40,0,10,0
304L,0,50,110,80
Сталь 45,56,0,20,0
Сталь 45,0,12,130,35
Сталь 45,55,0,30,0
Ст3,35,0,28,0
"2017A, 2024",50,0,30,0
"2017A, 2024",50,0,75,0
PTFE,25,20,45,45
"2017A, 2024",50,0,20,0
PTFE,25,20,40,40
316 L,40,0,5,0
PA-6,20,0,11,0
DELRIN NOIR,35,0,8,0
Laiton (латунь),6,0,21,0
PA-6,6,0,24,0
ЛС59-1,120,0,90,0
ЛС59-1,20,0,54,0
12Х18Н10Т,20,0,62,0
12Х18Н10Т,14,0,7,0
ЛС59-1,12,0,10,0
ЛС59-1,4,0,8,0
ЛС59-1,30,0,55,0
ЛС59-1,30,0,25,0
12Х18Н10Т,32,0,66,0
12Х18Н10Т,20,0,17,0
12Х18Н10Т,18,0,60,0
12Х18Н10Т,12,0,21,0
ЛС59-1,8,0,13,0
ЛС59-1,35,0,14,0
95Х18,15,0,26.0,0
В95,0,25,40.0,35
40Х,6,0,50.0,0
40Х,18,0,20.0,0
В95,0,10,70.0,40
40,2,0,24.0,0
В95,0,6,70.0,40
В95,16,0,8.5,0
В95,0,30,115.0,58
В95,0,12,48.0,48
ЛС59-1,6,0,8.0,0
В95,0,15,105.0,60
В95,22,0,11.0,0
POM,0,12,55.0,45
95Х18,25,0,10.0,0
40Х,10,0,33.0,0
D16T,65,0,18,0
D16T,20,0,20,0
Полиамид ПА6-МВ,60,0,115,0
OVAKO 280 (20MnV6),81.5,0,62.5,0
Bohler N709 (1.4534.4),0.0,10,50.0,15
1.4301 (X5CrNi18-10),12.0,0,7.0,0
1.2312 (40CrMnMoS6-8),50.0,0,20.0,0
1.8519 (31CrMoV9),70.0,0,9.0,0
RG7 (GC-CuSn7ZnPb),14.0,0,12.0,0
EN AW-7475-T7351,160.0,0,30.0,0
EN AW-7475-T7351,0.0,10,125.0,25
EN AW-7475-T7351,0.0,10,125.0,25
EN AW-7475-T7351,0.0,20,110.0,60
EN AW-7475-T7351,0.0,20,90.0,55
EN AW-7075-T7351,130.0,0,15.0,0
EN AW-7075-T7351,160.0,0,7.0,0
EN AW-7075-T7351,160.0,0,7.0,0
EN AW-7075-T7351,110.0,0,15.0,0
EN AW-7075-T7351,50.0,0,71.0,0
EN AW-7475-T7351,0.0,35,140.0,50
EN AW-7475-T7351,0.0,20,50.0,30
EN AW-7475-T7351,0.0,10,70.0,30
EN AW-7075-T7351,30.0,0,33.0,0
OVAKO 280 (20MnV6),81.5,0,62.5,0
Bohler N709 (1.4534.4),0.0,10,50.0,15
1.4301 (X5CrNi18-10),12.0,0,7.0,0
1.2312 (40CrMnMoS6-8),50.0,0,20.0,0
1.8519 (31CrMoV9),70.0,0,9.0,0
RG7 (GC-CuSn7ZnPb),14.0,0,12.0,0
EN AW-7475-T7351,160.0,0,30.0,0
EN AW-7475-T7351,0.0,10,125.0,25
EN AW-7475-T7351,0.0,10,125.0,25
EN AW-7475-T7351,0.0,20,110.0,60
EN AW-7475-T7351,0.0,20,90.0,55
EN AW-7075-T7351,130.0,0,15.0,0
EN AW-7075-T7351,160.0,0,7.0,0
EN AW-7075-T7351,160.0,0,7.0,0
EN AW-7075-T7351,110.0,0,15.0,0
EN AW-7075-T7351,50.0,0,71.0,0
EN AW-7475-T7351,0.0,35,140.0,50
EN AW-7475-T7351,0.0,20,50.0,30
EN AW-7475-T7351,0.0,10,70.0,30
EN AW-7075-T7351,30.0,0,33.0,0
Bohler N709 (1.4534.4),14,0,10.0,0
09Г2С,85,0,7.5,0
Bohler N709 (1.4534.4),0,5,50.0,20
1.4301 (X5CrNi18-10),12,0,7.0,0
Bohler N709 (1.4534.4),40,0,87.0,0
1.2312 (40CrMnMoS6-8),0,16,50.0,40
1.8519 (31CrMoV9),70,0,9.0,0
RG7 (GC-CuSn7ZnPb),14,0,12.0,0
EN AW-7475-T7351,160,0,32.0,0
EN AW-7475-T7351,0,25,155.0,135
EN AW-7475-T7351,0,25,155.0,135
EN AW-7475-T7351,0,6,130.0,35
EN AW-7475-T7351,0,6,130.0,35
EN AW-7475-T7351,0,16,115.0,60
EN AW-7475-T7351,0,16,95.0,60
EN AW-7475-T7351,0,16,100.0,60
EN AW-7075-T7351,130,0,15.0,0
EN AW-7075-T7351,160,0,7.0,0
EN AW-7475-T7351,140,0,46.0,0
EN AW-7475-T7351,110,0,32.0,0
EN AW-7075-T7351,160,0,7.0,0
EN AW-7075-T7351,110,0,15.0,0
EN AW-7075-T7351,55,0,155.0,0
EN AW-7075-T7351,50,0,71.0,0
EN AW-7475-T7351,0,30,155.0,50
EN AW-7475-T7351,0,16,50.0,30
EN AW-7475-T7351,0,6,75.0,40
EN AW-7475-T7351,120,0,32.0,0
EN AW-7475-T7351,26,0,33.0,0
Bohler N709 (1.4534.4),14,0,10.0,0
09Г2С,85,0,7.5,0
Bohler N709 (1.4534.4),0,5,50.0,20
1.4301 (X5CrNi18-10),12,0,7.0,0
Bohler N709 (1.4534.4),40,0,87.0,0
1.2312 (40CrMnMoS6-8),0,16,50.0,40
1.8519 (31CrMoV9),70,0,9.0,0
RG7 (GC-CuSn7ZnPb),14,0,12.0,0
EN AW-7475-T7351,160,0,32.0,0
EN AW-7475-T7351,0,25,155.0,135
