обозначение,наименование,индекс,коэф_входимости,заказанное_кол,уровень_критичности,примечания,наименование_материала,locmat_name,locmat,уд_вес,стоимость_мат_за_1кг_м,заг_диаметр,заг_толщина,заг_длина,заг_ширина,заг_на_кол_во,прутки,плиты,вес,стоимость_мат_ла,индустриализация_вид,индустриализация_стоимость,подряд_вид,подряд_стоимость,термообработка_вид,терообработка_стоимость,покрытие_площадь,покрытие_вид,покрытие_стоимость,резка_т_подг_мин,резка_т_маш_мин,резка_т_сум_ч,cn_т_подг_мин,cn_т_маш_мин,cn_т_сум_ч,dart_т_подг_мин,dart_т_маш_мин,dart_т_сум_ч,mx-cn_т_подг_мин,mx-cn_т_маш_мин,mx-cn_т_сум_ч,tour_т_подг_мин,tour_т_маш_мин,tour_т_сум_ч,mx\dart-tour_т_подг_мин,mx\dart-tour_т_ман_мин,mx\dart-tour_т_сум_ч,финишная_т_подг_мин,финишная_т_маш_мин,финишная_т_сум_ч,слесарная_т_подг_мин,слесарная_т_маш_мин,слесарная_т_сум_ч,шлифовальная_т_подг_мин,шлифовальная_т_маш_мин,шлифовальная_т_сум_ч,резерв_т_подг_мин,резерв_т_маш_мин,резерв_т_сум_ч,т_партии_ч,номер_заказа,full_cod1
бл8218786,,0,60,60,С1,,20Х13,,,7.8,5.0,80.0,,40.0,,1.0,2.76,0.0,108.156672,540.7833599999999,22.5,367.5,,0.0,т/обр,10.8156672,0.020096,,0.0,20.0,9.0,9.333333333333334,600.0,90.0,100.0,,,0.0,,,0.0,600.0,85.0,95.0,,,0.0,,,0.0,20.0,30.0,30.33333333333333,,,0.0,,,0.0,234.6666666666666,39332,8218786
бл8218787,,0,60,60,С1,,20Х13,,,7.8,5.0,85.0,,18.0,,1.0,1.242,0.0,54.94443435,274.72217175,13.5,212.5,,0.0,т/обр,5.494443435,0.01614745,,0.0,20.0,10.0,10.33333333333333,480.0,75.0,83.0,,,0.0,,,0.0,480.0,70.0,78.0,,,0.0,,,0.0,20.0,25.0,25.33333333333333,,,0.0,,,0.0,196.6666666666666,39332,8218787
БЛ8.218.789,обойма,4,60,60,С1,Запуск 39332/1,20Х13,,,7.8,5.0,80.0,,46.0,,1.0,3.173999999999999,0.0,124.3801728,621.900864,22.5,367.5,,0.0,т/обр,12.43801728,0.0216032,,0.0,20.0,8.0,8.333333333333334,600.0,90.0,100.0,,,0.0,,,0.0,600.0,90.0,100.0,,,0.0,,,0.0,20.0,30.0,30.33333333333333,,,0.0,,,0.0,238.6666666666666,39332,8.218.789
БЛ8.218.795,обойма,2,60,60,С1,Запуск 39332/1,Д16,,,2.85,7.0,120.0,,73.0,,1.0,5.037,0.0,162.2740068,1135.9180476,4.5,82.5,,0.0,стаб2,16.22740068,0.0501144,,0.0,20.0,5.0,5.333333333333333,,,0.0,240.0,25.0,29.0,,,0.0,600.0,65.0,75.0,,,0.0,,,0.0,20.0,30.0,30.33333333333333,,,0.0,,,0.0,139.6666666666667,39332,8.218.795
БЛ8.218.816,обойма,4,30,30,С1,Запуск 39332/1,12Х18Н9Т,,,7.85,7.0,80.0,,85.0,,1.0,2.9325,0.0,115.653108,809.5717559999999,4.5,82.5,,0.0,,0.0,0.0314,,0.0,20.0,8.0,4.333333333333333,,,0.0,480.0,55.0,35.5,,,0.0,600.0,70.0,45.0,,,0.0,,,0.0,20.0,20.0,10.33333333333333,,,0.0,,,0.0,95.16666666666669,39332,8.218.816
БЛ8.218.882,обойма,1,30,30,С1,Запуск 39332/1,20Х13,,,7.8,5.0,130.0,,30.0,,1.0,1.035,0.0,107.1004545,535.5022725,4.5,82.5,,0.0,т/обр,21.4200909,0.038779,,0.0,20.0,12.0,6.333333333333333,,,0.0,360.0,35.0,23.5,,,0.0,600.0,65.0,42.5,,,0.0,,,0.0,20.0,16.0,8.333333333333334,,,0.0,,,0.0,80.66666666666667,39332,8.218.882
бл8313264,,0,30,30,С1,отказ,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,39332,8313264
БЛ8.317.807,Ось,1,60,60,С1,Запуск 39332/2,20Х13,,,7.8,5.0,55.0,,45.0,,1.0,3.105,0.0,57.511042875,287.555214375,4.5,82.5,,0.0,т/обр,5.751104287499999,0.01252075,,0.0,20.0,7.0,7.333333333333333,,,0.0,240.0,12.0,16.0,,,0.0,600.0,60.0,70.0,,,0.0,,,0.0,10.0,5.0,5.166666666666667,,,0.0,,,0.0,98.5,39332,8.317.807
БЛ8.317.814,Ось,2,60,60,С1,Запуск 39332/2,20Х13,,,7.8,5.0,50.0,,55.0,,1.0,3.795,0.0,58.0919625,290.4598125,4.5,82.5,,0.0,т/обр,5.809196249999999,0.01256,,0.0,20.0,6.0,6.333333333333333,,,0.0,240.0,16.0,20.0,,,0.0,600.0,55.0,65.0,,,0.0,,,0.0,10.0,4.0,4.166666666666667,,,0.0,,,0.0,95.5,39332,8.317.814
бл8317815,,0,60,60,С1,отказ,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,39332,8317815
бл9124209,,0,60,60,С1,,20Х13,,,7.8,5.0,100.0,,22.0,,1.0,1.518,0.0,92.94714,464.7357,3.5,62.5,,0.0,т/обр,9.294714,0.022608,,0.0,20.0,10.0,10.33333333333333,,,0.0,240.0,18.0,22.0,,,0.0,480.0,60.0,68.0,,,0.0,,,0.0,10.0,5.0,5.166666666666667,,,0.0,,,0.0,105.5,39332,9124209
бл9124529,,0,30,30,С1,отказ,95Х18,,,7.8,,40.0,,45.0,,1.0,1.5525,0.0,15.209532,0.0,3.5,62.5,,0.0,,0.0,0.008164,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,39332,9124529
бл9163831,,0,30,30,С1,ответная деталь не входит в список,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,39332,9163831
XP15-00.00.00.002,Крышка бака,0,1,1,С1,,6082Т6,,,2.7,8.0,140.0,,165.0,,1.0,0.2475,0.0,10.2816945,82.25355600000002,0.0,0.0,,0.0,,0.0,0.103306,Ан.Окс.тв.ч.,10.3306,15.0,15.0,0.5,,,0.0,45.0,10.0,0.9166666666666666,,,0.0,240.0,120.0,6.0,,,0.0,,,0.0,5.0,5.0,0.1666666666666666,,,0.0,,,0.0,7.583333333333333,39335,15-00.00.00.002
XP15-00.00.00.003,Крышка клапана,0,1,1,С1,,6082Т6,,,2.7,8.0,50.0,,45.0,,1.0,0.0675,0.0,0.357665625,2.861325,0.0,0.0,,0.0,,0.0,0.01099,Ан.Окс.тв.ч.,1.099,5.0,1.0,0.1,,,0.0,30.0,5.0,0.5833333333333334,,,0.0,160.0,20.0,3.0,,,0.0,,,0.0,5.0,1.0,0.1,,,0.0,,,0.0,3.783333333333333,39335,15-00.00.00.003
XP15-00.00.00.001,Корпус,0,1,1,С1,,6082Т6,,,2.7,8.0,200.0,,250.0,,1.0,0.375,0.0,31.7925,254.34,9.0,180.0,,0.0,,0.0,0.2198,Ан.Окс.тв.ч.,21.98,15.0,30.0,0.75,,,0.0,760.0,200.0,16.0,,,0.0,600.0,180.0,13.0,,,0.0,,,0.0,15.0,30.0,0.75,,,0.0,,,0.0,30.5,39335,15-00.00.00.001
XМ6-00.00.00.001,Вынос,0,2,2,С1,,6082Т6,,,2.7,8.0,180.0,,120.0,,1.0,0.276,0.0,18.95341680000001,151.6273344000001,2.0,30.0,,0.0,,0.0,0.118692,Ан.Окс.тв. без окрашивания,11.8692,15.0,15.0,0.75,,,0.0,360.0,180.0,12.0,,,0.0,,,0.0,,,0.0,,,0.0,10.0,20.0,0.8333333333333334,,,0.0,,,0.0,13.58333333333333,39335,6-00.00.00.001
XМ6-01.00.00.001,Основание,0,2,2,С1,,6082Т6,,,2.7,8.0,150.0,,300.0,,1.0,0.69,0.0,32.90523750000001,263.2419,4.0,60.0,,0.0,,0.0,0.176625,Ан.Окс.тв. без окрашивания,17.6625,15.0,20.0,0.9166666666666666,,,0.0,480.0,300.0,18.0,,,0.0,,,0.0,,,0.0,,,0.0,15.0,30.0,1.25,,,0.0,,,0.0,20.16666666666667,39335,6-01.00.00.001
XМ6-01.00.00.002,Вынос,0,2,2,С1,,6082Т6,,,2.7,8.0,180.0,,110.0,,1.0,0.2529999999999999,0.0,17.3739654,138.9917232,2.0,30.0,,0.0,,0.0,0.11304,Ан.Окс.тв. без окрашивания,11.304,15.0,15.0,0.75,,,0.0,360.0,170.0,11.66666666666667,,,0.0,,,0.0,,,0.0,,,0.0,10.0,20.0,0.8333333333333334,,,0.0,,,0.0,13.25,39335,6-01.00.00.002
XМ6-01.00.00.003,Ось,0,12,12,С1,,318LN,,,8.0,35.0,40.0,,32.0,,1.0,0.4416,0.0,4.437196800000001,155.301888,0.0,0.0,,0.0,,0.0,0.0065312,,0.0,5.0,1.0,0.2833333333333333,,,0.0,60.0,5.0,2.0,,,0.0,60.0,8.0,2.6,,,0.0,,,0.0,5.0,1.0,0.2833333333333333,,,0.0,,,0.0,5.166666666666667,39335,6-01.00.00.003
XМ6-01.00.00.003-01,Ось,0,6,6,С1,,318LN,,,8.0,35.0,40.0,,35.0,,1.0,0.2414999999999999,0.0,2.426592,84.93072,0.0,0.0,,0.0,,0.0,0.006908,,0.0,5.0,1.0,0.1833333333333333,,,0.0,60.0,5.0,1.5,,,0.0,75.0,9.0,2.15,,,0.0,,,0.0,5.0,1.0,0.1833333333333333,,,0.0,,,0.0,4.016666666666668,39335,6-01.00.00.003-01
